id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados
648443203,Bacharelado,Unesp,Outros,Borracha,0,0,1,3,Saint Paul,58,3,2,0
423266690,Especialização,UNICAMP,SEM EXPERIÊNCIA,Eletrodomesticos,1,1,1,7,Mídia (revista/jornal/web),62,19,17,0
315097368,Bacharelado,UNICAMP,Engenheiro,Oleo e Gas,0,0,1,9,Google,36,3,1,0
911835279,Licenciatura,UNICAMP,Outros,Estado,1,1,1,9,Google,145,61,54,1
755852400,Especialização,FACULDADE ANHANGUERA,Engenheiro,Entretenimento,0,0,1,8,Minha empresa - benefício LITpass,33,33,29,0
792982630,SEM FORMAÇÃO,Escola Paulista de Direito,SEM EXPERIÊNCIA,Borracha,0,0,1,3,Outros,29,13,11,0
303596704,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Eletroeletronicos,0,0,1,8,Linkedin,521,190,160,1
448837351,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Estado,0,0,1,4,Google,10,10,10,0
183567948,Bacharelado,FACULDADE ANHANGUERA,Analista,Estado,0,0,1,10,Instagram,27,22,17,0
800655798,MBA,FATEC,SEM EXPERIÊNCIA,Entretenimento,1,1,1,7,Saint Paul,10,8,6,0
528578522,MBA,UFRJ,Engenheiro,Laminados,1,1,1,9,Linkedin,27,16,10,0
242888309,Bacharelado,UNICAMP,Analista Senior,Oleo e Gas,0,0,1,7,YouTube,79,33,31,1
465086324,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Borracha,1,1,1,4,Saint Paul,30,14,11,0
722141638,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,SEM EXPERIÊNCIA,Siderurgica,0,0,1,8,Outros,29,25,25,0
481209236,Bacharelado,UFRJ,Sócio/Dono/Proprietário,Montadora,1,1,1,7,YouTube,27,11,8,0
744471285,Licenciatura,Escola Paulista de Direito,Gerente,Estado,1,1,1,2,Minha empresa - benefício LITpass,61,9,4,0
854934250,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Engenheiro,Siderurgica,1,1,1,2,Mídia (revista/jornal/web),61,27,9,0
771505780,MBA,UNICAMP,Supervisor,Entretenimento,1,1,1,4,Mídia (revista/jornal/web),23,23,23,0
776733151,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Analista Senior,servicos,0,0,1,10,Linkedin,71,56,55,0
898827119,Bacharelado,Universidade Metodista de Sao Paulo,Advogado,Montadora,0,0,1,5,Facebook,33,4,1,0
851035152,Licenciatura,UNIP,Assessor,servicos,0,0,1,10,Linkedin,59,59,59,2
650147642,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Montadora,1,1,1,6,Outros,13,13,12,0
838482963,SEM FORMAÇÃO,UFF,Sócio/Dono/Proprietário,Laminados,1,1,1,3,Mídia (revista/jornal/web),116,47,38,0
567606117,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Borracha,0,0,1,5,Outros,29,10,8,0
830462479,MBA,UFSCar,Supervisor,Eletroeletronicos,1,1,1,7,Outros,77,20,14,0
766780870,Tecnólogo,UFF,Diretor,e-commerce,0,0,1,5,Mídia (revista/jornal/web),194,99,82,0
224279890,MBA,UFF,SEM EXPERIÊNCIA,Estado,0,0,1,6,Mídia (revista/jornal/web),10,10,10,0
903866569,Especialização,FATEC,Coordenador,Oleo e Gas,1,1,1,7,Linkedin,77,22,14,0
675065074,MBA,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Borracha,1,1,1,3,Instagram,303,48,36,0
626712462,Licenciatura,Universidade Metodista de Sao Paulo,Assessor,Laminados,1,1,1,2,Instagram,51,8,5,0
177063866,SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Analista Senior,Entretenimento,1,1,1,3,Linkedin,10,8,7,0
327103052,Tecnólogo,UFSCar,Coordenador,Estado,1,1,1,6,Outros,77,29,24,0
519317965,Especialização,FGV-RJ,Engenheiro,Borracha,1,1,1,3,Saint Paul,27,6,5,0
163577856,MBA,FACULDADE ANHANGUERA,Assessor,e-commerce,1,1,1,3,YouTube,65,9,3,0
564245818,Tecnólogo,Escola Paulista de Direito,Outros,Eletroeletronicos,0,0,1,8,Minha empresa - benefício LITpass,64,2,2,0
546039160,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Montadora,1,1,1,6,Saint Paul,40,18,17,0
307716853,Licenciatura,UFRN,Gerente,Montadora,0,0,1,10,Outros,515,211,130,2
405133375,Especialização,FACULDADE ANHANGUERA,Diretor,Borracha,1,1,1,8,Facebook,31,31,31,0
893660782,SEM FORMAÇÃO,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,servicos,0,0,1,8,Outros,197,82,53,0
687041737,Licenciatura,FGV-RJ,Analista Senior,servicos,0,0,1,9,Saint Paul,40,35,30,0
935967497,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Engenheiro,Entretenimento,0,0,1,7,Saint Paul,185,55,48,0
650070398,MBA,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Oleo e Gas,1,1,1,5,Saint Paul,25,7,6,0
158504635,Tecnólogo,UFF,SEM EXPERIÊNCIA,Borracha,1,1,1,5,YouTube,155,112,107,5
160546184,SEM FORMAÇÃO,UNICAMP,Engenheiro,e-commerce,0,0,1,2,Facebook,22,5,1,0
196050183,Bacharelado,UFSCar,Analista Senior,Borracha,1,1,1,7,Outros,41,3,1,0
946636036,Tecnólogo,Escola Paulista de Direito,SEM EXPERIÊNCIA,Oleo e Gas,1,1,1,2,Mídia (revista/jornal/web),67,11,7,0
726018922,Tecnólogo,UNIP,SEM EXPERIÊNCIA,Oleo e Gas,0,0,1,6,Outros,61,9,6,0
381646085,Bacharelado,UEPB,Analista,Montadora,1,1,1,2,Google,40,7,4,0
441328793,Bacharelado,Escola Paulista de Direito,Analista Senior,Eletroeletronicos,1,1,1,4,Mídia (revista/jornal/web),28,2,1,0
633191269,Especialização,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Montadora,0,0,1,9,Outros,70,15,8,0
143560342,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista Senior,Montadora,1,1,1,6,YouTube,15,15,15,1
