id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados,categoria
915132186.0,Especialização,UNIP,Analista Senior,Eletrodomesticos,1.0,1.0,1.0,6.0,Google,28.0,5.0,4.0,0.0,perfil6
183037660.0,MBA,,Supervisor,e-commerce,0.0,0.0,1.0,6.0,,66.0,36.0,34.0,0.0,perfil2
681614019.0,Bacharelado,UNICAMP,Outros,e-commerce,1.0,1.0,1.0,10.0,Saint Paul,27.0,27.0,27.0,0.0,perfil2
398921329.0,SEM FORMAÇÃO,UFRN,Outros,Eletroeletronicos,,1.0,1.0,5.0,Instagram,29.0,10.0,6.0,0.0,perfil5
522842284.0,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Eletrodomesticos,,0.0,1.0,7.0,Google,67.0,49.0,44.0,0.0,perfil2
131260205.0,Bacharelado,UEPB,Advogado,Montadora,1.0,1.0,1.0,,,66.0,52.0,50.0,0.0,perfil2
732752621.0,Licenciatura,FGV-RJ,Assessor,Entretenimento,0.0,0.0,,2.0,Mídia (revista/jornal/web),31.0,,13.0,0.0,perfil4
225518813.0,Especialização,UNIVERSIDADE NOVE DE JULHO,Advogado,Eletroeletronicos,0.0,0.0,,6.0,,27.0,13.0,12.0,0.0,perfil2
,Bacharelado,USP,Engenheiro,Eletrodomesticos,,,1.0,3.0,Saint Paul,131.0,38.0,20.0,0.0,perfil3
408435481.0,Bacharelado,UNIVERSIDADE NOVE DE JULHO,Gerente,Oleo e Gas,0.0,0.0,1.0,9.0,Outros,51.0,49.0,49.0,0.0,perfil2
,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista,Eletrodomesticos,1.0,1.0,1.0,3.0,Google,10.0,5.0,1.0,0.0,perfil6
868804832.0,Licenciatura,UFRN,Advogado,Oleo e Gas,0.0,0.0,1.0,2.0,Facebook,10.0,3.0,1.0,0.0,perfil6
780104035.0,,,,Siderurgica,0.0,0.0,,4.0,Facebook,40.0,4.0,4.0,0.0,perfil6
297095854.0,Bacharelado,UFSCar,,servicos,1.0,1.0,1.0,3.0,Saint Paul,32.0,,2.0,0.0,perfil5
419157575.0,MBA,UFRN,Diretor,e-commerce,0.0,,1.0,3.0,,,17.0,15.0,0.0,perfil1
862585285.0,Especialização,USP,Coordenador,Estado,1.0,1.0,1.0,4.0,Outros,36.0,20.0,19.0,0.0,perfil3
652845727.0,Especialização,Universidade Metodista de Sao Paulo,Advogado,Borracha,1.0,1.0,1.0,5.0,Mídia (revista/jornal/web),96.0,32.0,26.0,0.0,perfil2
820731097.0,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Engenheiro,Montadora,1.0,1.0,,7.0,Instagram,,4.0,2.0,0.0,perfil6
210373988.0,Bacharelado,UNICAMP,Analista Senior,e-commerce,0.0,0.0,,,Mídia (revista/jornal/web),,166.0,159.0,0.0,perfil2
496104074.0,MBA,,Supervisor,servicos,1.0,1.0,1.0,10.0,Facebook,87.0,40.0,,0.0,perfil2
109819457.0,Especialização,UNICAMP,Analista Senior,Eletrodomesticos,0.0,0.0,,9.0,Saint Paul,277.0,101.0,87.0,0.0,perfil2
573405650.0,Tecnólogo,Escola Paulista de Direito,Advogado,,,1.0,,7.0,Outros,69.0,41.0,40.0,0.0,perfil2
181979262.0,Especialização,,Coordenador,Eletrodomesticos,0.0,0.0,1.0,7.0,,10.0,4.0,3.0,0.0,perfil6
970177365.0,SEM FORMAÇÃO,,Diretor,Laminados,0.0,0.0,1.0,9.0,Minha empresa - benefício LITpass,9.0,9.0,6.0,0.0,perfil5
652914577.0,Tecnólogo,UFRN,,,0.0,,1.0,2.0,Facebook,10.0,2.0,1.0,0.0,perfil6
696800174.0,Especialização,UFSCar,,Montadora,0.0,0.0,1.0,10.0,Minha empresa - benefício LITpass,63.0,16.0,11.0,0.0,perfil4
550561522.0,MBA,FACULDADE ANHANGUERA,Engenheiro,e-commerce,1.0,,1.0,10.0,,73.0,10.0,8.0,0.0,perfil5
484491210.0,Tecnólogo,UFSCar,Sócio/Dono/Proprietário,e-commerce,,1.0,1.0,10.0,Mídia (revista/jornal/web),,38.0,,0.0,perfil2
374050533.0,Licenciatura,UFF,Supervisor,Eletrodomesticos,,0.0,1.0,,Saint Paul,954.0,333.0,270.0,2.0,perfil1
671111834.0,Bacharelado,UFPE,Supervisor,Siderurgica,1.0,1.0,1.0,5.0,Google,188.0,127.0,114.0,4.0,perfil1
,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Coordenador,Eletrodomesticos,0.0,0.0,1.0,,Instagram,98.0,88.0,75.0,0.0,perfil6
,Bacharelado,UNIP,Diretor,servicos,0.0,0.0,1.0,8.0,Saint Paul,49.0,5.0,2.0,0.0,perfil6
563075313.0,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Montadora,,0.0,1.0,8.0,Linkedin,21.0,17.0,15.0,0.0,perfil3
,Tecnólogo,UNIP,Coordenador,Entretenimento,1.0,1.0,1.0,6.0,Instagram,41.0,5.0,3.0,0.0,perfil4
290329311.0,Especialização,Universidade Metodista de Sao Paulo,SEM EXPERIÊNCIA,Oleo e Gas,1.0,1.0,1.0,4.0,Instagram,27.0,17.0,7.0,0.0,perfil5
556743736.0,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista,Borracha,0.0,,,10.0,Mídia (revista/jornal/web),119.0,17.0,6.0,,perfil5
577042559.0,Licenciatura,USP,Assessor,Eletrodomesticos,,0.0,1.0,4.0,Google,35.0,35.0,35.0,0.0,perfil4
,,UFRN,Engenheiro,Eletroeletronicos,1.0,,1.0,4.0,Minha empresa - benefício LITpass,33.0,3.0,1.0,0.0,perfil6
541608754.0,Licenciatura,Universidade Metodista de Sao Paulo,Advogado,,1.0,1.0,1.0,5.0,YouTube,53.0,34.0,30.0,0.0,perfil6
302084828.0,SEM FORMAÇÃO,UNIP,Gerente,servicos,0.0,0.0,1.0,9.0,Facebook,,2.0,1.0,0.0,perfil5
668795974.0,Especialização,UFRN,Analista Senior,Laminados,0.0,,1.0,10.0,YouTube,27.0,4.0,,0.0,perfil2
440160383.0,Tecnólogo,USP,Advogado,Laminados,0.0,0.0,1.0,5.0,YouTube,32.0,2.0,,0.0,perfil6
,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,,Eletroeletronicos,1.0,1.0,1.0,4.0,Google,79.0,18.0,16.0,,perfil3
,Especialização,USP,,Montadora,0.0,0.0,1.0,8.0,,149.0,,131.0,3.0,perfil5
329591232.0,Licenciatura,,Gerente,Entretenimento,0.0,,1.0,6.0,Minha empresa - benefício LITpass,22.0,22.0,22.0,0.0,perfil2
